,DZD,AOA,ARS,AMD,AUD,EUR,AZN,BHD,BBD,BYN,EUR,BMD,BOB,BAM,BWP,BRL,BGN,CVE,KHR,XAF,CAD,KYD,XAF,CLP,CNY,COP,CDF,XAF,CRC,HRK,EUR,CZK,DKK,DOP,USD,EGP,USD,XAF,EUR,FJD,EUR,EUR,XAF,GEL,EUR,GHS,GIP,EUR,DKK,GTQ,GBP,GYD,HNL,HKD,HUF,ISK,INR,IDR,IQD,EUR,IMP,ILS,EUR,XOF,JMD,JPY,GBP,JOD,KZT,KES,KRW,EUR,KWD,KGS,LAK,EUR,LBP,LYD,CHF,EUR,EUR,MOP,MGA,MWK,MYR,MVR,EUR,MRU,MUR,MXN,MDL,MNT,EUR,MAD,MZN,MMK,NAD,EUR,NZD,NIO,NGN,MKD,NOK,OMR,PKR,"ILS, USD, and JOD",PAB  and USD,PGK,PYG,PEN,PHP,PLN,EUR,USD,QAR,RON,RUB,RWF,XCD,SAR,XOF,RSD,SGD,EUR,EUR,ZAR,EUR,LKR,SZL,SEK,CHF,TWD,TJS,TZS,THB,USD,TTD,TND,TRY,TMT,UGX,UAH,AED,GBP,USD,UYU,UZS,VEF,VND,ZMW,ZWD
USD,DZDUSD,AOAUSD,ARSUSD,AMDUSD,AUDUSD,EURUSD,AZNUSD,BHDUSD,BBDUSD,BYNUSD,EURUSD,BMDUSD,BOBUSD,BAMUSD,BWPUSD,BRLUSD,BGNUSD,CVEUSD,KHRUSD,XAFUSD,CADUSD,KYDUSD,XAFUSD,CLPUSD,CNYUSD,COPUSD,CDFUSD,XAFUSD,CRCUSD,HRKUSD,EURUSD,CZKUSD,DKKUSD,DOPUSD,1,EGPUSD,1,XAFUSD,EURUSD,FJDUSD,EURUSD,EURUSD,XAFUSD,GELUSD,EURUSD,GHSUSD,GIPUSD,EURUSD,DKKUSD,GTQUSD,GBPUSD,GYDUSD,HNLUSD,HKDUSD,HUFUSD,ISKUSD,INRUSD,IDRUSD,IQDUSD,EURUSD,IMPUSD,ILSUSD,EURUSD,XOFUSD,JMDUSD,JPYUSD,GBPUSD,JODUSD,KZTUSD,KESUSD,KRWUSD,EURUSD,KWDUSD,KGSUSD,LAKUSD,EURUSD,LBPUSD,LYDUSD,CHFUSD,EURUSD,EURUSD,MOPUSD,MGAUSD,MWKUSD,MYRUSD,MVRUSD,EURUSD,MRUUSD,MURUSD,MXNUSD,MDLUSD,MNTUSD,EURUSD,MADUSD,MZNUSD,MMKUSD,NADUSD,EURUSD,NZDUSD,NIOUSD,NGNUSD,MKDUSD,NOKUSD,OMRUSD,PKRUSD,"ILS, USD, and JODUSD",PAB  and USDUSD,PGKUSD,PYGUSD,PENUSD,PHPUSD,PLNUSD,EURUSD,1,QARUSD,RONUSD,RUBUSD,RWFUSD,XCDUSD,SARUSD,XOFUSD,RSDUSD,SGDUSD,EURUSD,EURUSD,ZARUSD,EURUSD,LKRUSD,SZLUSD,SEKUSD,CHFUSD,TWDUSD,TJSUSD,TZSUSD,THBUSD,1,TTDUSD,TNDUSD,TRYUSD,TMTUSD,UGXUSD,UAHUSD,AEDUSD,GBPUSD,1,UYUUSD,UZSUSD,VEFUSD,VNDUSD,ZMWUSD,ZWDUSD
XAF,DZDXAF,AOAXAF,ARSXAF,AMDXAF,AUDXAF,EURXAF,AZNXAF,BHDXAF,BBDXAF,BYNXAF,EURXAF,BMDXAF,BOBXAF,BAMXAF,BWPXAF,BRLXAF,BGNXAF,CVEXAF,KHRXAF,1,CADXAF,KYDXAF,1,CLPXAF,CNYXAF,COPXAF,CDFXAF,1,CRCXAF,HRKXAF,EURXAF,CZKXAF,DKKXAF,DOPXAF,USDXAF,EGPXAF,USDXAF,1,EURXAF,FJDXAF,EURXAF,EURXAF,1,GELXAF,EURXAF,GHSXAF,GIPXAF,EURXAF,DKKXAF,GTQXAF,GBPXAF,GYDXAF,HNLXAF,HKDXAF,HUFXAF,ISKXAF,INRXAF,IDRXAF,IQDXAF,EURXAF,IMPXAF,ILSXAF,EURXAF,XOFXAF,JMDXAF,JPYXAF,GBPXAF,JODXAF,KZTXAF,KESXAF,KRWXAF,EURXAF,KWDXAF,KGSXAF,LAKXAF,EURXAF,LBPXAF,LYDXAF,CHFXAF,EURXAF,EURXAF,MOPXAF,MGAXAF,MWKXAF,MYRXAF,MVRXAF,EURXAF,MRUXAF,MURXAF,MXNXAF,MDLXAF,MNTXAF,EURXAF,MADXAF,MZNXAF,MMKXAF,NADXAF,EURXAF,NZDXAF,NIOXAF,NGNXAF,MKDXAF,NOKXAF,OMRXAF,PKRXAF,"ILS, USD, and JODXAF",PAB  and USDXAF,PGKXAF,PYGXAF,PENXAF,PHPXAF,PLNXAF,EURXAF,USDXAF,QARXAF,RONXAF,RUBXAF,RWFXAF,XCDXAF,SARXAF,XOFXAF,RSDXAF,SGDXAF,EURXAF,EURXAF,ZARXAF,EURXAF,LKRXAF,SZLXAF,SEKXAF,CHFXAF,TWDXAF,TJSXAF,TZSXAF,THBXAF,USDXAF,TTDXAF,TNDXAF,TRYXAF,TMTXAF,UGXXAF,UAHXAF,AEDXAF,GBPXAF,USDXAF,UYUXAF,UZSXAF,VEFXAF,VNDXAF,ZMWXAF,ZWDXAF
EUR,DZDEUR,AOAEUR,ARSEUR,AMDEUR,AUDEUR,1,AZNEUR,BHDEUR,BBDEUR,BYNEUR,1,BMDEUR,BOBEUR,BAMEUR,BWPEUR,BRLEUR,BGNEUR,CVEEUR,KHREUR,XAFEUR,CADEUR,KYDEUR,XAFEUR,CLPEUR,CNYEUR,COPEUR,CDFEUR,XAFEUR,CRCEUR,HRKEUR,1,CZKEUR,DKKEUR,DOPEUR,USDEUR,EGPEUR,USDEUR,XAFEUR,1,FJDEUR,1,1,XAFEUR,GELEUR,1,GHSEUR,GIPEUR,1,DKKEUR,GTQEUR,GBPEUR,GYDEUR,HNLEUR,HKDEUR,HUFEUR,ISKEUR,INREUR,IDREUR,IQDEUR,1,IMPEUR,ILSEUR,1,XOFEUR,JMDEUR,JPYEUR,GBPEUR,JODEUR,KZTEUR,KESEUR,KRWEUR,1,KWDEUR,KGSEUR,LAKEUR,1,LBPEUR,LYDEUR,CHFEUR,1,1,MOPEUR,MGAEUR,MWKEUR,MYREUR,MVREUR,1,MRUEUR,MUREUR,MXNEUR,MDLEUR,MNTEUR,1,MADEUR,MZNEUR,MMKEUR,NADEUR,1,NZDEUR,NIOEUR,NGNEUR,MKDEUR,NOKEUR,OMREUR,PKREUR,"ILS, USD, and JODEUR",PAB  and USDEUR,PGKEUR,PYGEUR,PENEUR,PHPEUR,PLNEUR,1,USDEUR,QAREUR,RONEUR,RUBEUR,RWFEUR,XCDEUR,SAREUR,XOFEUR,RSDEUR,SGDEUR,1,1,ZAREUR,1,LKREUR,SZLEUR,SEKEUR,CHFEUR,TWDEUR,TJSEUR,TZSEUR,THBEUR,USDEUR,TTDEUR,TNDEUR,TRYEUR,TMTEUR,UGXEUR,UAHEUR,AEDEUR,GBPEUR,USDEUR,UYUEUR,UZSEUR,VEFEUR,VNDEUR,ZMWEUR,ZWDEUR
FJD,DZDFJD,AOAFJD,ARSFJD,AMDFJD,AUDFJD,EURFJD,AZNFJD,BHDFJD,BBDFJD,BYNFJD,EURFJD,BMDFJD,BOBFJD,BAMFJD,BWPFJD,BRLFJD,BGNFJD,CVEFJD,KHRFJD,XAFFJD,CADFJD,KYDFJD,XAFFJD,CLPFJD,CNYFJD,COPFJD,CDFFJD,XAFFJD,CRCFJD,HRKFJD,EURFJD,CZKFJD,DKKFJD,DOPFJD,USDFJD,EGPFJD,USDFJD,XAFFJD,EURFJD,1,EURFJD,EURFJD,XAFFJD,GELFJD,EURFJD,GHSFJD,GIPFJD,EURFJD,DKKFJD,GTQFJD,GBPFJD,GYDFJD,HNLFJD,HKDFJD,HUFFJD,ISKFJD,INRFJD,IDRFJD,IQDFJD,EURFJD,IMPFJD,ILSFJD,EURFJD,XOFFJD,JMDFJD,JPYFJD,GBPFJD,JODFJD,KZTFJD,KESFJD,KRWFJD,EURFJD,KWDFJD,KGSFJD,LAKFJD,EURFJD,LBPFJD,LYDFJD,CHFFJD,EURFJD,EURFJD,MOPFJD,MGAFJD,MWKFJD,MYRFJD,MVRFJD,EURFJD,MRUFJD,MURFJD,MXNFJD,MDLFJD,MNTFJD,EURFJD,MADFJD,MZNFJD,MMKFJD,NADFJD,EURFJD,NZDFJD,NIOFJD,NGNFJD,MKDFJD,NOKFJD,OMRFJD,PKRFJD,"ILS, USD, and JODFJD",PAB  and USDFJD,PGKFJD,PYGFJD,PENFJD,PHPFJD,PLNFJD,EURFJD,USDFJD,QARFJD,RONFJD,RUBFJD,RWFFJD,XCDFJD,SARFJD,XOFFJD,RSDFJD,SGDFJD,EURFJD,EURFJD,ZARFJD,EURFJD,LKRFJD,SZLFJD,SEKFJD,CHFFJD,TWDFJD,TJSFJD,TZSFJD,THBFJD,USDFJD,TTDFJD,TNDFJD,TRYFJD,TMTFJD,UGXFJD,UAHFJD,AEDFJD,GBPFJD,USDFJD,UYUFJD,UZSFJD,VEFFJD,VNDFJD,ZMWFJD,ZWDFJD
EUR,DZDEUR,AOAEUR,ARSEUR,AMDEUR,AUDEUR,1,AZNEUR,BHDEUR,BBDEUR,BYNEUR,1,BMDEUR,BOBEUR,BAMEUR,BWPEUR,BRLEUR,BGNEUR,CVEEUR,KHREUR,XAFEUR,CADEUR,KYDEUR,XAFEUR,CLPEUR,CNYEUR,COPEUR,CDFEUR,XAFEUR,CRCEUR,HRKEUR,1,CZKEUR,DKKEUR,DOPEUR,USDEUR,EGPEUR,USDEUR,XAFEUR,1,FJDEUR,1,1,XAFEUR,GELEUR,1,GHSEUR,GIPEUR,1,DKKEUR,GTQEUR,GBPEUR,GYDEUR,HNLEUR,HKDEUR,HUFEUR,ISKEUR,INREUR,IDREUR,IQDEUR,1,IMPEUR,ILSEUR,1,XOFEUR,JMDEUR,JPYEUR,GBPEUR,JODEUR,KZTEUR,KESEUR,KRWEUR,1,KWDEUR,KGSEUR,LAKEUR,1,LBPEUR,LYDEUR,CHFEUR,1,1,MOPEUR,MGAEUR,MWKEUR,MYREUR,MVREUR,1,MRUEUR,MUREUR,MXNEUR,MDLEUR,MNTEUR,1,MADEUR,MZNEUR,MMKEUR,NADEUR,1,NZDEUR,NIOEUR,NGNEUR,MKDEUR,NOKEUR,OMREUR,PKREUR,"ILS, USD, and JODEUR",PAB  and USDEUR,PGKEUR,PYGEUR,PENEUR,PHPEUR,PLNEUR,1,USDEUR,QAREUR,RONEUR,RUBEUR,RWFEUR,XCDEUR,SAREUR,XOFEUR,RSDEUR,SGDEUR,1,1,ZAREUR,1,LKREUR,SZLEUR,SEKEUR,CHFEUR,TWDEUR,TJSEUR,TZSEUR,THBEUR,USDEUR,TTDEUR,TNDEUR,TRYEUR,TMTEUR,UGXEUR,UAHEUR,AEDEUR,GBPEUR,USDEUR,UYUEUR,UZSEUR,VEFEUR,VNDEUR,ZMWEUR,ZWDEUR
EUR,DZDEUR,AOAEUR,ARSEUR,AMDEUR,AUDEUR,1,AZNEUR,BHDEUR,BBDEUR,BYNEUR,1,BMDEUR,BOBEUR,BAMEUR,BWPEUR,BRLEUR,BGNEUR,CVEEUR,KHREUR,XAFEUR,CADEUR,KYDEUR,XAFEUR,CLPEUR,CNYEUR,COPEUR,CDFEUR,XAFEUR,CRCEUR,HRKEUR,1,CZKEUR,DKKEUR,DOPEUR,USDEUR,EGPEUR,USDEUR,XAFEUR,1,FJDEUR,1,1,XAFEUR,GELEUR,1,GHSEUR,GIPEUR,1,DKKEUR,GTQEUR,GBPEUR,GYDEUR,HNLEUR,HKDEUR,HUFEUR,ISKEUR,INREUR,IDREUR,IQDEUR,1,IMPEUR,ILSEUR,1,XOFEUR,JMDEUR,JPYEUR,GBPEUR,JODEUR,KZTEUR,KESEUR,KRWEUR,1,KWDEUR,KGSEUR,LAKEUR,1,LBPEUR,LYDEUR,CHFEUR,1,1,MOPEUR,MGAEUR,MWKEUR,MYREUR,MVREUR,1,MRUEUR,MUREUR,MXNEUR,MDLEUR,MNTEUR,1,MADEUR,MZNEUR,MMKEUR,NADEUR,1,NZDEUR,NIOEUR,NGNEUR,MKDEUR,NOKEUR,OMREUR,PKREUR,"ILS, USD, and JODEUR",PAB  and USDEUR,PGKEUR,PYGEUR,PENEUR,PHPEUR,PLNEUR,1,USDEUR,QAREUR,RONEUR,RUBEUR,RWFEUR,XCDEUR,SAREUR,XOFEUR,RSDEUR,SGDEUR,1,1,ZAREUR,1,LKREUR,SZLEUR,SEKEUR,CHFEUR,TWDEUR,TJSEUR,TZSEUR,THBEUR,USDEUR,TTDEUR,TNDEUR,TRYEUR,TMTEUR,UGXEUR,UAHEUR,AEDEUR,GBPEUR,USDEUR,UYUEUR,UZSEUR,VEFEUR,VNDEUR,ZMWEUR,ZWDEUR
XAF,DZDXAF,AOAXAF,ARSXAF,AMDXAF,AUDXAF,EURXAF,AZNXAF,BHDXAF,BBDXAF,BYNXAF,EURXAF,BMDXAF,BOBXAF,BAMXAF,BWPXAF,BRLXAF,BGNXAF,CVEXAF,KHRXAF,1,CADXAF,KYDXAF,1,CLPXAF,CNYXAF,COPXAF,CDFXAF,1,CRCXAF,HRKXAF,EURXAF,CZKXAF,DKKXAF,DOPXAF,USDXAF,EGPXAF,USDXAF,1,EURXAF,FJDXAF,EURXAF,EURXAF,1,GELXAF,EURXAF,GHSXAF,GIPXAF,EURXAF,DKKXAF,GTQXAF,GBPXAF,GYDXAF,HNLXAF,HKDXAF,HUFXAF,ISKXAF,INRXAF,IDRXAF,IQDXAF,EURXAF,IMPXAF,ILSXAF,EURXAF,XOFXAF,JMDXAF,JPYXAF,GBPXAF,JODXAF,KZTXAF,KESXAF,KRWXAF,EURXAF,KWDXAF,KGSXAF,LAKXAF,EURXAF,LBPXAF,LYDXAF,CHFXAF,EURXAF,EURXAF,MOPXAF,MGAXAF,MWKXAF,MYRXAF,MVRXAF,EURXAF,MRUXAF,MURXAF,MXNXAF,MDLXAF,MNTXAF,EURXAF,MADXAF,MZNXAF,MMKXAF,NADXAF,EURXAF,NZDXAF,NIOXAF,NGNXAF,MKDXAF,NOKXAF,OMRXAF,PKRXAF,"ILS, USD, and JODXAF",PAB  and USDXAF,PGKXAF,PYGXAF,PENXAF,PHPXAF,PLNXAF,EURXAF,USDXAF,QARXAF,RONXAF,RUBXAF,RWFXAF,XCDXAF,SARXAF,XOFXAF,RSDXAF,SGDXAF,EURXAF,EURXAF,ZARXAF,EURXAF,LKRXAF,SZLXAF,SEKXAF,CHFXAF,TWDXAF,TJSXAF,TZSXAF,THBXAF,USDXAF,TTDXAF,TNDXAF,TRYXAF,TMTXAF,UGXXAF,UAHXAF,AEDXAF,GBPXAF,USDXAF,UYUXAF,UZSXAF,VEFXAF,VNDXAF,ZMWXAF,ZWDXAF
GEL,DZDGEL,AOAGEL,ARSGEL,AMDGEL,AUDGEL,EURGEL,AZNGEL,BHDGEL,BBDGEL,BYNGEL,EURGEL,BMDGEL,BOBGEL,BAMGEL,BWPGEL,BRLGEL,BGNGEL,CVEGEL,KHRGEL,XAFGEL,CADGEL,KYDGEL,XAFGEL,CLPGEL,CNYGEL,COPGEL,CDFGEL,XAFGEL,CRCGEL,HRKGEL,EURGEL,CZKGEL,DKKGEL,DOPGEL,USDGEL,EGPGEL,USDGEL,XAFGEL,EURGEL,FJDGEL,EURGEL,EURGEL,XAFGEL,1,EURGEL,GHSGEL,GIPGEL,EURGEL,DKKGEL,GTQGEL,GBPGEL,GYDGEL,HNLGEL,HKDGEL,HUFGEL,ISKGEL,INRGEL,IDRGEL,IQDGEL,EURGEL,IMPGEL,ILSGEL,EURGEL,XOFGEL,JMDGEL,JPYGEL,GBPGEL,JODGEL,KZTGEL,KESGEL,KRWGEL,EURGEL,KWDGEL,KGSGEL,LAKGEL,EURGEL,LBPGEL,LYDGEL,CHFGEL,EURGEL,EURGEL,MOPGEL,MGAGEL,MWKGEL,MYRGEL,MVRGEL,EURGEL,MRUGEL,MURGEL,MXNGEL,MDLGEL,MNTGEL,EURGEL,MADGEL,MZNGEL,MMKGEL,NADGEL,EURGEL,NZDGEL,NIOGEL,NGNGEL,MKDGEL,NOKGEL,OMRGEL,PKRGEL,"ILS, USD, and JODGEL",PAB  and USDGEL,PGKGEL,PYGGEL,PENGEL,PHPGEL,PLNGEL,EURGEL,USDGEL,QARGEL,RONGEL,RUBGEL,RWFGEL,XCDGEL,SARGEL,XOFGEL,RSDGEL,SGDGEL,EURGEL,EURGEL,ZARGEL,EURGEL,LKRGEL,SZLGEL,SEKGEL,CHFGEL,TWDGEL,TJSGEL,TZSGEL,THBGEL,USDGEL,TTDGEL,TNDGEL,TRYGEL,TMTGEL,UGXGEL,UAHGEL,AEDGEL,GBPGEL,USDGEL,UYUGEL,UZSGEL,VEFGEL,VNDGEL,ZMWGEL,ZWDGEL
EUR,DZDEUR,AOAEUR,ARSEUR,AMDEUR,AUDEUR,1,AZNEUR,BHDEUR,BBDEUR,BYNEUR,1,BMDEUR,BOBEUR,BAMEUR,BWPEUR,BRLEUR,BGNEUR,CVEEUR,KHREUR,XAFEUR,CADEUR,KYDEUR,XAFEUR,CLPEUR,CNYEUR,COPEUR,CDFEUR,XAFEUR,CRCEUR,HRKEUR,1,CZKEUR,DKKEUR,DOPEUR,USDEUR,EGPEUR,USDEUR,XAFEUR,1,FJDEUR,1,1,XAFEUR,GELEUR,1,GHSEUR,GIPEUR,1,DKKEUR,GTQEUR,GBPEUR,GYDEUR,HNLEUR,HKDEUR,HUFEUR,ISKEUR,INREUR,IDREUR,IQDEUR,1,IMPEUR,ILSEUR,1,XOFEUR,JMDEUR,JPYEUR,GBPEUR,JODEUR,KZTEUR,KESEUR,KRWEUR,1,KWDEUR,KGSEUR,LAKEUR,1,LBPEUR,LYDEUR,CHFEUR,1,1,MOPEUR,MGAEUR,MWKEUR,MYREUR,MVREUR,1,MRUEUR,MUREUR,MXNEUR,MDLEUR,MNTEUR,1,MADEUR,MZNEUR,MMKEUR,NADEUR,1,NZDEUR,NIOEUR,NGNEUR,MKDEUR,NOKEUR,OMREUR,PKREUR,"ILS, USD, and JODEUR",PAB  and USDEUR,PGKEUR,PYGEUR,PENEUR,PHPEUR,PLNEUR,1,USDEUR,QAREUR,RONEUR,RUBEUR,RWFEUR,XCDEUR,SAREUR,XOFEUR,RSDEUR,SGDEUR,1,1,ZAREUR,1,LKREUR,SZLEUR,SEKEUR,CHFEUR,TWDEUR,TJSEUR,TZSEUR,THBEUR,USDEUR,TTDEUR,TNDEUR,TRYEUR,TMTEUR,UGXEUR,UAHEUR,AEDEUR,GBPEUR,USDEUR,UYUEUR,UZSEUR,VEFEUR,VNDEUR,ZMWEUR,ZWDEUR
GHS,DZDGHS,AOAGHS,ARSGHS,AMDGHS,AUDGHS,EURGHS,AZNGHS,BHDGHS,BBDGHS,BYNGHS,EURGHS,BMDGHS,BOBGHS,BAMGHS,BWPGHS,BRLGHS,BGNGHS,CVEGHS,KHRGHS,XAFGHS,CADGHS,KYDGHS,XAFGHS,CLPGHS,CNYGHS,COPGHS,CDFGHS,XAFGHS,CRCGHS,HRKGHS,EURGHS,CZKGHS,DKKGHS,DOPGHS,USDGHS,EGPGHS,USDGHS,XAFGHS,EURGHS,FJDGHS,EURGHS,EURGHS,XAFGHS,GELGHS,EURGHS,1,GIPGHS,EURGHS,DKKGHS,GTQGHS,GBPGHS,GYDGHS,HNLGHS,HKDGHS,HUFGHS,ISKGHS,INRGHS,IDRGHS,IQDGHS,EURGHS,IMPGHS,ILSGHS,EURGHS,XOFGHS,JMDGHS,JPYGHS,GBPGHS,JODGHS,KZTGHS,KESGHS,KRWGHS,EURGHS,KWDGHS,KGSGHS,LAKGHS,EURGHS,LBPGHS,LYDGHS,CHFGHS,EURGHS,EURGHS,MOPGHS,MGAGHS,MWKGHS,MYRGHS,MVRGHS,EURGHS,MRUGHS,MURGHS,MXNGHS,MDLGHS,MNTGHS,EURGHS,MADGHS,MZNGHS,MMKGHS,NADGHS,EURGHS,NZDGHS,NIOGHS,NGNGHS,MKDGHS,NOKGHS,OMRGHS,PKRGHS,"ILS, USD, and JODGHS",PAB  and USDGHS,PGKGHS,PYGGHS,PENGHS,PHPGHS,PLNGHS,EURGHS,USDGHS,QARGHS,RONGHS,RUBGHS,RWFGHS,XCDGHS,SARGHS,XOFGHS,RSDGHS,SGDGHS,EURGHS,EURGHS,ZARGHS,EURGHS,LKRGHS,SZLGHS,SEKGHS,CHFGHS,TWDGHS,TJSGHS,TZSGHS,THBGHS,USDGHS,TTDGHS,TNDGHS,TRYGHS,TMTGHS,UGXGHS,UAHGHS,AEDGHS,GBPGHS,USDGHS,UYUGHS,UZSGHS,VEFGHS,VNDGHS,ZMWGHS,ZWDGHS
GIP,DZDGIP,AOAGIP,ARSGIP,AMDGIP,AUDGIP,EURGIP,AZNGIP,BHDGIP,BBDGIP,BYNGIP,EURGIP,BMDGIP,BOBGIP,BAMGIP,BWPGIP,BRLGIP,BGNGIP,CVEGIP,KHRGIP,XAFGIP,CADGIP,KYDGIP,XAFGIP,CLPGIP,CNYGIP,COPGIP,CDFGIP,XAFGIP,CRCGIP,HRKGIP,EURGIP,CZKGIP,DKKGIP,DOPGIP,USDGIP,EGPGIP,USDGIP,XAFGIP,EURGIP,FJDGIP,EURGIP,EURGIP,XAFGIP,GELGIP,EURGIP,GHSGIP,1,EURGIP,DKKGIP,GTQGIP,GBPGIP,GYDGIP,HNLGIP,HKDGIP,HUFGIP,ISKGIP,INRGIP,IDRGIP,IQDGIP,EURGIP,IMPGIP,ILSGIP,EURGIP,XOFGIP,JMDGIP,JPYGIP,GBPGIP,JODGIP,KZTGIP,KESGIP,KRWGIP,EURGIP,KWDGIP,KGSGIP,LAKGIP,EURGIP,LBPGIP,LYDGIP,CHFGIP,EURGIP,EURGIP,MOPGIP,MGAGIP,MWKGIP,MYRGIP,MVRGIP,EURGIP,MRUGIP,MURGIP,MXNGIP,MDLGIP,MNTGIP,EURGIP,MADGIP,MZNGIP,MMKGIP,NADGIP,EURGIP,NZDGIP,NIOGIP,NGNGIP,MKDGIP,NOKGIP,OMRGIP,PKRGIP,"ILS, USD, and JODGIP",PAB  and USDGIP,PGKGIP,PYGGIP,PENGIP,PHPGIP,PLNGIP,EURGIP,USDGIP,QARGIP,RONGIP,RUBGIP,RWFGIP,XCDGIP,SARGIP,XOFGIP,RSDGIP,SGDGIP,EURGIP,EURGIP,ZARGIP,EURGIP,LKRGIP,SZLGIP,SEKGIP,CHFGIP,TWDGIP,TJSGIP,TZSGIP,THBGIP,USDGIP,TTDGIP,TNDGIP,TRYGIP,TMTGIP,UGXGIP,UAHGIP,AEDGIP,GBPGIP,USDGIP,UYUGIP,UZSGIP,VEFGIP,VNDGIP,ZMWGIP,ZWDGIP
EUR,DZDEUR,AOAEUR,ARSEUR,AMDEUR,AUDEUR,1,AZNEUR,BHDEUR,BBDEUR,BYNEUR,1,BMDEUR,BOBEUR,BAMEUR,BWPEUR,BRLEUR,BGNEUR,CVEEUR,KHREUR,XAFEUR,CADEUR,KYDEUR,XAFEUR,CLPEUR,CNYEUR,COPEUR,CDFEUR,XAFEUR,CRCEUR,HRKEUR,1,CZKEUR,DKKEUR,DOPEUR,USDEUR,EGPEUR,USDEUR,XAFEUR,1,FJDEUR,1,1,XAFEUR,GELEUR,1,GHSEUR,GIPEUR,1,DKKEUR,GTQEUR,GBPEUR,GYDEUR,HNLEUR,HKDEUR,HUFEUR,ISKEUR,INREUR,IDREUR,IQDEUR,1,IMPEUR,ILSEUR,1,XOFEUR,JMDEUR,JPYEUR,GBPEUR,JODEUR,KZTEUR,KESEUR,KRWEUR,1,KWDEUR,KGSEUR,LAKEUR,1,LBPEUR,LYDEUR,CHFEUR,1,1,MOPEUR,MGAEUR,MWKEUR,MYREUR,MVREUR,1,MRUEUR,MUREUR,MXNEUR,MDLEUR,MNTEUR,1,MADEUR,MZNEUR,MMKEUR,NADEUR,1,NZDEUR,NIOEUR,NGNEUR,MKDEUR,NOKEUR,OMREUR,PKREUR,"ILS, USD, and JODEUR",PAB  and USDEUR,PGKEUR,PYGEUR,PENEUR,PHPEUR,PLNEUR,1,USDEUR,QAREUR,RONEUR,RUBEUR,RWFEUR,XCDEUR,SAREUR,XOFEUR,RSDEUR,SGDEUR,1,1,ZAREUR,1,LKREUR,SZLEUR,SEKEUR,CHFEUR,TWDEUR,TJSEUR,TZSEUR,THBEUR,USDEUR,TTDEUR,TNDEUR,TRYEUR,TMTEUR,UGXEUR,UAHEUR,AEDEUR,GBPEUR,USDEUR,UYUEUR,UZSEUR,VEFEUR,VNDEUR,ZMWEUR,ZWDEUR
DKK,DZDDKK,AOADKK,ARSDKK,AMDDKK,AUDDKK,EURDKK,AZNDKK,BHDDKK,BBDDKK,BYNDKK,EURDKK,BMDDKK,BOBDKK,BAMDKK,BWPDKK,BRLDKK,BGNDKK,CVEDKK,KHRDKK,XAFDKK,CADDKK,KYDDKK,XAFDKK,CLPDKK,CNYDKK,COPDKK,CDFDKK,XAFDKK,CRCDKK,HRKDKK,EURDKK,CZKDKK,1,DOPDKK,USDDKK,EGPDKK,USDDKK,XAFDKK,EURDKK,FJDDKK,EURDKK,EURDKK,XAFDKK,GELDKK,EURDKK,GHSDKK,GIPDKK,EURDKK,1,GTQDKK,GBPDKK,GYDDKK,HNLDKK,HKDDKK,HUFDKK,ISKDKK,INRDKK,IDRDKK,IQDDKK,EURDKK,IMPDKK,ILSDKK,EURDKK,XOFDKK,JMDDKK,JPYDKK,GBPDKK,JODDKK,KZTDKK,KESDKK,KRWDKK,EURDKK,KWDDKK,KGSDKK,LAKDKK,EURDKK,LBPDKK,LYDDKK,CHFDKK,EURDKK,EURDKK,MOPDKK,MGADKK,MWKDKK,MYRDKK,MVRDKK,EURDKK,MRUDKK,MURDKK,MXNDKK,MDLDKK,MNTDKK,EURDKK,MADDKK,MZNDKK,MMKDKK,NADDKK,EURDKK,NZDDKK,NIODKK,NGNDKK,MKDDKK,NOKDKK,OMRDKK,PKRDKK,"ILS, USD, and JODDKK",PAB  and USDDKK,PGKDKK,PYGDKK,PENDKK,PHPDKK,PLNDKK,EURDKK,USDDKK,QARDKK,RONDKK,RUBDKK,RWFDKK,XCDDKK,SARDKK,XOFDKK,RSDDKK,SGDDKK,EURDKK,EURDKK,ZARDKK,EURDKK,LKRDKK,SZLDKK,SEKDKK,CHFDKK,TWDDKK,TJSDKK,TZSDKK,THBDKK,USDDKK,TTDDKK,TNDDKK,TRYDKK,TMTDKK,UGXDKK,UAHDKK,AEDDKK,GBPDKK,USDDKK,UYUDKK,UZSDKK,VEFDKK,VNDDKK,ZMWDKK,ZWDDKK
